vsi_path	slide_id	is_overview	file_size_bytes	num_scenes	scene_idx	scene_name	width_px	height_px	mpp_x_um	mpp_y_um	magnification	compression	num_channels	num_z_slices	num_t_frames	error
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10762228HE1_Overview.vsi	10762228HE1_Overview	1	1439522		-1											no scenes
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10762230HE1.vsi	10762230HE1	0	321623	1	0	40x	33008	33010	0.170664	0.170665	40.0	Compression.Jpeg	3	1	1	
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10762230HE1_Overview.vsi	10762230HE1_Overview	1	1434388		-1											no scenes
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10762232HE1.vsi	10762232HE1	0	412611	1	0	40x	40863	39380	0.170665	0.170665	40.0	Compression.Jpeg	3	1	1	
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10762232HE1_Overview.vsi	10762232HE1_Overview	1	1436938		-1											no scenes
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10762234HE1.vsi	10762234HE1	0	299903	1	0	40x	25702	33720	0.170668	0.170672	40.0	Compression.Jpeg	3	1	1	
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10762234HE1_Overview.vsi	10762234HE1_Overview	1	1412922		-1											no scenes
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10762236HE1.vsi	10762236HE1	0	616799	1	0	40x	24847	25723	0.170671	0.170668	40.0	Compression.Jpeg	3	1	1	
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10762236HE1_Overview.vsi	10762236HE1_Overview	1	1409596		-1											no scenes
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10762238HE1.vsi	10762238HE1	0	318065	1	0	40x	28551	35450	0.170668	0.170671	40.0	Compression.Jpeg	3	1	1	
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10762238HE1_Overview.vsi	10762238HE1_Overview	1	1412056		-1											no scenes
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10762240HE1.vsi	10762240HE1	0	444029	1	0	40x	18824	18722	0.170666	0.170672	40.0	Compression.Jpeg	3	1	1	
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10762240HE1_Overview.vsi	10762240HE1_Overview	1	1412868		-1											no scenes
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10762242HE1.vsi	10762242HE1	0	655605	1	0	40x	26841	25153	0.170672	0.170669	40.0	Compression.Jpeg	3	1	1	
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10762242HE1_Overview.vsi	10762242HE1_Overview	1	1409408		-1											no scenes
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10762244HE1.vsi	10762244HE1	0	489095	1	0	40x	19374	28167	0.170659	0.170661	40.0	Compression.Jpeg	3	1	1	
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10762244HE1_Overview.vsi	10762244HE1_Overview	1	1436078		-1											no scenes
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10762246HE1.vsi	10762246HE1	0	317877	1	0	40x	30566	34842	0.170664	0.170663	40.0	Compression.Jpeg	3	1	1	
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10762246HE1_Overview.vsi	10762246HE1_Overview	1	1433058		-1											no scenes
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10762248HE1.vsi	10762248HE1	0	634479	1	0	40x	25438	26966	0.170662	0.170662	40.0	Compression.Jpeg	3	1	1	
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10762248HE1_Overview.vsi	10762248HE1_Overview	1	1433758		-1											no scenes
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10762250HE1.vsi	10762250HE1	0	346491	1	0	40x	36020	33316	0.170663	0.170661	40.0	Compression.Jpeg	3	1	1	
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10762250HE1_Overview.vsi	10762250HE1_Overview	1	1432314		-1											no scenes
